title,url,tags,score,creationdate
"How can I debug a problem calling Python's copy.deepcopy() against a custom type?","https://stackoverflow.com/questions/1941887","<python><deep-copy>","4","2009-12-21 18:50:12"
"Python, Huge Iteration Performance Problem","https://stackoverflow.com/questions/1941712","<python><iteration><bioinformatics>","9","2009-12-21 18:16:07"
"How to use ""get_or_create()"" in Django?","https://stackoverflow.com/questions/1941212","<python><django><function><object><django-models>","321","2009-12-21 16:43:54"
"Syntax quirks or why is that valid python","https://stackoverflow.com/questions/1940710","<python><syntax>","8","2009-12-21 15:23:16"
"WindowsError: [Error 126] The specified module could not be found","https://stackoverflow.com/questions/1940578","<python><ctypes>","52","2009-12-21 14:59:12"
"Changing properties of inherited field","https://stackoverflow.com/questions/1940459","<python><django><django-models>","2","2009-12-21 14:38:56"
"Python: Synchronize Input and Output Between Threads","https://stackoverflow.com/questions/1940423","<python><input><multithreading>","3","2009-12-21 14:31:39"
"Interactive mode in matplotlib","https://stackoverflow.com/questions/1940387","<python><matplotlib>","8","2009-12-21 14:23:23"
"Python sorts ""u11-Phrase 1000.wav"" before ""u11-Phrase 101.wav""; how can I overcome this?","https://stackoverflow.com/questions/1940056","<python><sorting>","6","2009-12-21 13:17:45"
"Py2exe: Embed static files in exe file itself and access them","https://stackoverflow.com/questions/1939883","<resources><python-3.x><py2exe>","10","2009-12-21 12:39:14"
"Constructing a Python set from a Numpy matrix","https://stackoverflow.com/questions/1939228","<python><arrays><numpy><set>","22","2009-12-21 10:02:03"
"Simple example of use of __setstate__ and __getstate__","https://stackoverflow.com/questions/1939058","<python><serialization><pickle><magic-methods>","158","2009-12-21 09:17:07"
"Singleton python generator? Or, pickle a python generator?","https://stackoverflow.com/questions/1939015","<python><singleton><generator><pickle><persistent>","4","2009-12-21 09:08:40"
"Checking if A is superclass of B in Python","https://stackoverflow.com/questions/1938755","<python><reflection><superclass>","31","2009-12-21 07:49:15"
"int object is not iterable while trying to sum the digits of a number?","https://stackoverflow.com/questions/1938227","<python><loops><integer>","27","2009-12-21 04:42:14"
"Convert date to datetime in Python","https://stackoverflow.com/questions/1937622","<python><datetime><date>","1004","2009-12-21 00:26:01"
"How to iterate over a string using a buffer (python)","https://stackoverflow.com/questions/1937519","<python><string><iteration><buffer>","3","2009-12-20 23:46:44"
"exposing std::vector<double> with boost.python","https://stackoverflow.com/questions/1937135","<c++><python><boost-python>","4","2009-12-20 21:31:21"
"PyQt 4 UI freezes","https://stackoverflow.com/questions/1936868","<python><qt><pyqt><pyqt4>","3","2009-12-20 20:15:40"
"Regular Expression to split on specific character ONLY if that character is not in a pair","https://stackoverflow.com/questions/1936837","<python><regex><string><replace>","2","2009-12-20 20:05:24"
"Why does this code behave differently in Python3.1 than in Python2.6?","https://stackoverflow.com/questions/1936725","<python><subprocess><stdout><stdin><popen>","5","2009-12-20 19:34:26"
"How to scrape only visible webpage text with BeautifulSoup?","https://stackoverflow.com/questions/1936466","<python><web-scraping><text><beautifulsoup><html-content-extraction>","157","2009-12-20 17:55:58"
"Sub-classing float type in Python, fails to catch exception in __init__()","https://stackoverflow.com/questions/1936457","<python><exception>","11","2009-12-20 17:51:35"
"operator overloading in python","https://stackoverflow.com/questions/1936135","<python><operator-overloading>","45","2009-12-20 15:32:08"
"wxPython - DatePickerCtrl seems to ignore SetValue()","https://stackoverflow.com/questions/1936074","<python><wxpython>","5","2009-12-20 15:02:17"
"Excluding last element in 0-based indexing","https://stackoverflow.com/questions/1935990","<python><arrays><programming-languages>","2","2009-12-20 14:31:01"
"How to extract the first hit elements from an XML NCBI BLAST file?","https://stackoverflow.com/questions/1935385","<python><xml><bioinformatics><elementtree><ncbi>","6","2009-12-20 09:44:19"
"__del__ method being called in python when it is not expected","https://stackoverflow.com/questions/1935153","<python><object-lifetime><del>","7","2009-12-20 07:42:46"
"Python, Threads, the GIL, and C++","https://stackoverflow.com/questions/1934898","<c++><python><c><multithreading><boost-python>","2","2009-12-20 04:56:04"
"numpy to matlab interface with mlabwrap","https://stackoverflow.com/questions/1934740","<python><matlab><interface><mlabwrap>","6","2009-12-20 03:25:38"
"Xpath builder in Python","https://stackoverflow.com/questions/1934720","<python><xml><xpath><selenium>","4","2009-12-20 03:11:02"
"How to execute Python scripts in Windows?","https://stackoverflow.com/questions/1934675","<python><windows><scripting><command-line><file-association>","97","2009-12-20 02:09:25"
"Item assignment to bytes object?","https://stackoverflow.com/questions/1934624","<python><python-3.x>","19","2009-12-20 01:16:16"
"Python: incorporating index from for loop as part of a list name","https://stackoverflow.com/questions/1934344","<python><list><indexing><for-loop>","2","2009-12-19 22:49:01"
"python - urrlib2 request https site - getting 400 error","https://stackoverflow.com/questions/1934284","<python><https><parsing><request><urllib2>","2","2009-12-19 22:18:35"
"Setting an alias to a Django ""plug-in"" app","https://stackoverflow.com/questions/1934188","<python><django>","2","2009-12-19 21:24:09"
"help with python urllib2 import error","https://stackoverflow.com/questions/1933928","<python><import><urllib2>","3","2009-12-19 19:35:37"
"A pythonic way how to find if a value is between two values in a list","https://stackoverflow.com/questions/1933919","<list><grid><range><python><snapping>","7","2009-12-19 19:33:03"
"fonts clipping with PIL","https://stackoverflow.com/questions/1933766","<python><fonts><python-imaging-library><text-rendering>","6","2009-12-19 18:38:52"
"Why should exec() and eval() be avoided?","https://stackoverflow.com/questions/1933451","<python><python-exec>","46","2009-12-19 16:58:08"
"Python - specify which function in file to use on command line","https://stackoverflow.com/questions/1933400","<python><command-line><function>","4","2009-12-19 16:45:29"
"I want to display name in front of field instead of","https://stackoverflow.com/questions/1933299","<python><django><django-forms>","2","2009-12-19 16:11:51"
"make python replace un-encodable chars with a string by default","https://stackoverflow.com/questions/1933184","<python><replace><encode>","8","2009-12-19 15:28:16"
"remove numbers from a list without changing total sum","https://stackoverflow.com/questions/1932657","<python><math><sum><combinations><mathematical-optimization>","7","2009-12-19 11:22:00"
"Can't get MySQL source query to work using Python mysqldb module","https://stackoverflow.com/questions/1932298","<python><mysql><scripting>","6","2009-12-19 07:52:15"
"Python - ignore lines in a file","https://stackoverflow.com/questions/1931527","<python><loops><file><line>","2","2009-12-19 00:47:36"
"How to parse somewhat wrong JSON with Python?","https://stackoverflow.com/questions/1931454","<python><json><google-app-engine>","56","2009-12-19 00:25:08"
"Accessing python httplib2 over a network share in windows 7","https://stackoverflow.com/questions/1931353","<python><windows-7><httplib2>","2","2009-12-18 23:52:22"
"Is there a clever way to get the previous/next item using the Django ORM?","https://stackoverflow.com/questions/1931008","<python><django><django-models>","22","2009-12-18 22:18:49"
"How do I define a SQLAlchemy relation representing the latest object in a collection?","https://stackoverflow.com/questions/1930864","<python><sqlalchemy>","7","2009-12-18 21:46:57"
"Prevent RegEx Hang on Large Matches","https://stackoverflow.com/questions/1930135","<python><regex>","4","2009-12-18 19:11:03"
"PyTables problem - different results when iterating over subset of table","https://stackoverflow.com/questions/1929973","<python><numpy><pytables>","3","2009-12-18 18:38:36"
"Django Admin: not seeing any app (permission problem?)","https://stackoverflow.com/questions/1929707","<python><django><permissions><django-admin>","6","2009-12-18 17:45:02"
"Is there a better way to serve the results of an expensive, blocking python process over HTTP?","https://stackoverflow.com/questions/1929681","<python><http><mod-wsgi><tornado>","5","2009-12-18 17:39:52"
"Reading the same file multiple times in Python","https://stackoverflow.com/questions/1929662","<python><file-io><zip><unzip>","3","2009-12-18 17:37:24"
"In Python, use ""dict"" with keywords or anonymous dictionaries?","https://stackoverflow.com/questions/1929274","<python>","9","2009-12-18 16:26:56"
"python-config ldflags on mac","https://stackoverflow.com/questions/1929180","<python><macos><linker><ld>","3","2009-12-18 16:15:48"
"Nested dot lookups in Django templates","https://stackoverflow.com/questions/1929109","<python><django><django-templates>","7","2009-12-18 16:07:35"
"Implementing tridiagonal matrix algorithm (TDMA) with NumPy","https://stackoverflow.com/questions/1929045","<python><numpy><numerical-methods>","4","2009-12-18 15:59:41"
"Robocopy error code 6 ''The handle is invalid'","https://stackoverflow.com/questions/1928855","<python><subprocess><robocopy>","2","2009-12-18 15:25:20"
"Calling a method on class A depending on type of parameter","https://stackoverflow.com/questions/1928806","<python><oop>","4","2009-12-18 15:17:10"
"Compare two images the python/linux way","https://stackoverflow.com/questions/1927660","<python><linux><image>","48","2009-12-18 11:27:38"
"""For"" loop first iteration","https://stackoverflow.com/questions/1927544","<python><algorithm><iteration>","104","2009-12-18 11:03:26"
"How to run server script indefinitely","https://stackoverflow.com/questions/1927144","<python><linux><nohup>","2","2009-12-18 09:10:03"
"How do I parse a string representing a nested list into an actual list?","https://stackoverflow.com/questions/1926741","<python><parsing><string><exec><nested-lists>","13","2009-12-18 06:54:19"
"Editing the XML texts from a XML file using Python","https://stackoverflow.com/questions/1926512","<python><xml>","6","2009-12-18 05:39:52"
"Django TemplateDoesNotExist?","https://stackoverflow.com/questions/1926049","<python><django><django-templates>","252","2009-12-18 03:12:10"
"Django Unhandled Exception","https://stackoverflow.com/questions/1925898","<python><django>","9","2009-12-18 02:24:23"
"Eclipse (with Pydev) keeps throwing SyntaxError","https://stackoverflow.com/questions/1925852","<python><eclipse><syntax><pydev>","13","2009-12-18 02:07:04"
"python import fails when called from PHP","https://stackoverflow.com/questions/1925764","<php><python><import><exec>","6","2009-12-18 01:34:39"
"What problems will one see in using Python multiprocessing naively?","https://stackoverflow.com/questions/1925718","<python><multiprocessing>","7","2009-12-18 01:19:13"
"Read a formatted date in Python 2.3?","https://stackoverflow.com/questions/1925678","<python><datetime>","2","2009-12-18 01:08:09"
"httplib CannotSendRequest error in WSGI","https://stackoverflow.com/questions/1925639","<python><twitter><oauth><wsgi><httplib>","17","2009-12-18 00:58:42"
"Handling an exception in another thread","https://stackoverflow.com/questions/1925635","<python><multithreading><exception>","2","2009-12-18 00:57:37"
"python import a method that depends on a imported class","https://stackoverflow.com/questions/1924906","<python><import>","2","2009-12-17 22:02:33"
"Use <optgroup> with form.fields.queryset?","https://stackoverflow.com/questions/1924704","<python><django><django-forms><django-queryset>","5","2009-12-17 21:25:27"
"Define a list with type","https://stackoverflow.com/questions/1924469","<python>","38","2009-12-17 20:46:00"
"Inheritable custom exceptions in python","https://stackoverflow.com/questions/1924380","<python>","2","2009-12-17 20:33:29"
"Python lambdas and scoping","https://stackoverflow.com/questions/1924214","<python><lambda>","8","2009-12-17 20:02:49"
"Django: How do I validate unique_together from within the model","https://stackoverflow.com/questions/1923826","<python><django><django-models><django-views><unique-constraint>","4","2009-12-17 18:56:18"
"Multiprocessing launching too many instances of Python VM","https://stackoverflow.com/questions/1923706","<python><windows><multiprocessing>","18","2009-12-17 18:37:24"
"monolithic inheritance vs modular member based OOP design","https://stackoverflow.com/questions/1923101","<python><oop>","3","2009-12-17 16:52:56"
"Obtain & manipulate bit pattern of float as integer","https://stackoverflow.com/questions/1922771","<python><floating-point><bit-manipulation>","13","2009-12-17 16:02:13"
"Huge amount of time sending data with suds and proxy","https://stackoverflow.com/questions/1922538","<python><proxy><suds>","2","2009-12-17 15:31:24"
"nested regular expressions in python","https://stackoverflow.com/questions/1922261","<python><nested><expression>","2","2009-12-17 14:49:16"
"Python: when to use pty.fork() versus os.fork()","https://stackoverflow.com/questions/1922254","<python><linux><fork><kill><pty>","14","2009-12-17 14:47:41"
"Indexing over the results returned by selenium","https://stackoverflow.com/questions/1922211","<python><xpath><selenium>","3","2009-12-17 14:40:06"
"Grep and Python","https://stackoverflow.com/questions/1921894","<python><regex><grep>","94","2009-12-17 13:45:00"
"Split views.py in several files","https://stackoverflow.com/questions/1921771","<python><django>","180","2009-12-17 13:26:31"
"Many-to-one mapping (creating equivalence classes)","https://stackoverflow.com/questions/1921027","<python><many-to-one><equivalence-classes>","19","2009-12-17 11:08:36"
"How to find duplicate elements in array using for loop in Python?","https://stackoverflow.com/questions/1920145","<python><duplicates>","29","2009-12-17 08:01:33"
"Tornado Web Framework Mysql connection handling","https://stackoverflow.com/questions/1920012","<python><mysql><time><tornado><persistent-connection>","5","2009-12-17 07:19:17"
"Sprox form with Turbogears, using Mako, only displays plain text","https://stackoverflow.com/questions/1919833","<python><forms><mako><turbogears><sprox>","2","2009-12-17 06:21:38"
"How to make PHP output a sound (beep)?","https://stackoverflow.com/questions/1919826","<php><python><beep><synthesizer>","4","2009-12-17 06:20:00"
"Nested Methods? Why are they useful?","https://stackoverflow.com/questions/1919372","<c#><python>","13","2009-12-17 04:02:16"
"Mass string replace in python?","https://stackoverflow.com/questions/1919096","<python><regex><string><performance><replace>","43","2009-12-17 02:17:38"
"Is there a better way to iterate over two lists, getting one element from each list for each iteration?","https://stackoverflow.com/questions/1919044","<python><list><iteration>","163","2009-12-17 02:00:55"
"Reading a file via open().read() vs storing it in a variable","https://stackoverflow.com/questions/1918965","<python>","3","2009-12-17 01:41:19"
"How can I do python/ruby/javascript style generators in actionscript?","https://stackoverflow.com/questions/1918817","<python><actionscript><generator><coroutine>","2","2009-12-17 00:50:26"
"Make a tkinter window appear over all other windows","https://stackoverflow.com/questions/1918752","<python><windows><focus><stack><tkinter>","3","2009-12-17 00:29:16"
"An explanation for Python's relative imports","https://stackoverflow.com/questions/1918539","<python>","183","2009-12-16 23:27:05"
"Python lists append return value","https://stackoverflow.com/questions/1918270","<python><list>","10","2009-12-16 22:29:35"
"Making python/tkinter label widget update?","https://stackoverflow.com/questions/1918005","<python><tkinter>","31","2009-12-16 21:47:52"
"Python import mechanics","https://stackoverflow.com/questions/1917958","<python><coding-style><import><module><conventions>","13","2009-12-16 21:41:59"
"Installing Fabric On Windows (Error No Module Called Readline)","https://stackoverflow.com/questions/1917193","<python><windows><deployment><fabric>","3","2009-12-16 19:50:04"
"Filter zipcodes by proximity in Django with the Spherical Law of Cosines","https://stackoverflow.com/questions/1916953","<python><django><zipcode><proximity>","10","2009-12-16 19:12:28"
"Can't open Unicode URL with Python","https://stackoverflow.com/questions/1916684","<python><unicode>","12","2009-12-16 18:31:59"
"Find the longest common starting substring in a set of strings","https://stackoverflow.com/questions/1916218","<javascript><python><ruby><haskell><longest-prefix>","39","2009-12-16 17:22:46"
"with statement - backport for Python 2.5","https://stackoverflow.com/questions/1915927","<python><with-statement><backport>","4","2009-12-16 16:37:52"
"python descriptors sharing values across classes","https://stackoverflow.com/questions/1915643","<python><descriptor>","3","2009-12-16 16:03:50"
"python, convert a dictionary to a sorted list by value instead of key","https://stackoverflow.com/questions/1915564","<python><sorting>","20","2009-12-16 15:54:15"
"split a generator/iterable every n items in python (splitEvery)","https://stackoverflow.com/questions/1915170","<python><iterator><split>","47","2009-12-16 14:58:28"
"Alphabetizing functions in a Python class","https://stackoverflow.com/questions/1914761","<python><class><visualization><publishing><alphabetized>","9","2009-12-16 13:51:00"
"Pickling a staticmethod in Python","https://stackoverflow.com/questions/1914261","<python><static-methods><pickle>","3","2009-12-16 12:03:46"
"How can I use TOR as a proxy?","https://stackoverflow.com/questions/1914254","<python><language-agnostic><proxy><tor><proxies>","2","2009-12-16 12:01:53"
"Python string pattern recognition/compression","https://stackoverflow.com/questions/1914236","<python><string><compression><pattern-recognition>","8","2009-12-16 11:57:32"
"Python performance characteristics","https://stackoverflow.com/questions/1913906","<python><performance>","14","2009-12-16 10:58:41"
"Django model ON DELETE CASCADE policy, emulate ON DELETE RESTRICT instead, general solution","https://stackoverflow.com/questions/1913875","<python><django><django-models>","3","2009-12-16 10:54:19"
"Speedup writing C programs using a subset of the Python syntax","https://stackoverflow.com/questions/1913837","<python><c><vim><syntax><scripting>","8","2009-12-16 10:48:52"
"Python date formatting without space?","https://stackoverflow.com/questions/1913798","<python><time>","10","2009-12-16 10:40:43"
"db.Model class variables and __init__","https://stackoverflow.com/questions/1913775","<python><google-app-engine>","2","2009-12-16 10:36:20"
"double quote escaping in os.system on windows","https://stackoverflow.com/questions/1912818","<python><windows><batch-file><double-quotes>","3","2009-12-16 06:59:23"
"Best place to coerce/convert to the right type in Python","https://stackoverflow.com/questions/1912476","<python><dynamic-typing>","2","2009-12-16 05:20:26"
"How to parse XML and get instances of a particular node attribute?","https://stackoverflow.com/questions/1912434","<python><xml>","1158","2009-12-16 05:09:24"
"deleter decorator using Property in Python","https://stackoverflow.com/questions/1912229","<python><properties><decorator>","18","2009-12-16 04:11:41"
"How does this max() expression in Python work?","https://stackoverflow.com/questions/1911981","<python><lambda><max>","2","2009-12-16 03:01:12"
"Nested SSH session with Paramiko","https://stackoverflow.com/questions/1911690","<python><ssh><paramiko>","37","2009-12-16 01:28:06"
"What is the best way to store database settings with Django?","https://stackoverflow.com/questions/1911652","<python><django>","4","2009-12-16 01:17:37"
"How to completely sanitize a string of illegal characters in python?","https://stackoverflow.com/questions/1911548","<python><unicode>","11","2009-12-16 00:44:00"
"Is there a better way to compare dictionary values","https://stackoverflow.com/questions/1911273","<python><dictionary>","89","2009-12-15 23:39:12"
"concatenate items in dictionary in python using list comprehension","https://stackoverflow.com/questions/1911014","<python><list-comprehension>","4","2009-12-15 22:49:10"
"How should I deal with a circular import in Google App Engine?","https://stackoverflow.com/questions/1910886","<python><google-app-engine>","9","2009-12-15 22:29:35"
"More efficient way to count intersections?","https://stackoverflow.com/questions/1910744","<python><algorithm><set>","5","2009-12-15 22:07:01"
"Django: Problems with serving static files with non ascii names","https://stackoverflow.com/questions/1910427","<python><django>","3","2009-12-15 21:11:29"
"Unicode filenames on Windows with Python & subprocess.Popen()","https://stackoverflow.com/questions/1910275","<python><windows><unicode>","13","2009-12-15 20:45:14"
"lisp-style style `let` syntax in Python list-comprehensions","https://stackoverflow.com/questions/1910003","<refactoring><lisp><python>","6","2009-12-15 20:02:47"
"Python: List to integers","https://stackoverflow.com/questions/1909619","<python><list><integer>","4","2009-12-15 19:04:42"
"Is it possible to use functions before declaring their body in python?","https://stackoverflow.com/questions/1909325","<python>","15","2009-12-15 18:14:27"
"Import error with virtualenv","https://stackoverflow.com/questions/1909025","<python><virtualenv>","12","2009-12-15 17:26:21"
"Netcat implementation in Python","https://stackoverflow.com/questions/1908878","<python><netcat>","44","2009-12-15 17:01:41"
"How to do this GROUP BY query in Django's ORM with annotate and aggregate","https://stackoverflow.com/questions/1908741","<python><django><orm><group-by>","5","2009-12-15 16:43:37"
"Parsing XML to a hash table","https://stackoverflow.com/questions/1908410","<python><xml><dom>","4","2009-12-15 15:57:26"
"In there something similar to Java's Thread.yield() in Python? Does that even make sense?","https://stackoverflow.com/questions/1908206","<python><multithreading><sleep><yield>","9","2009-12-15 15:30:28"
"Update Facebook Page's status using pyfacebook","https://stackoverflow.com/questions/1907662","<python><django><facebook><pyfacebook>","2","2009-12-15 14:00:59"
